[ 2025-07-26 15:03:07,774 ] 30 root - INFO - Entered the data ingestion method
[ 2025-07-26 15:03:08,134 ] 35 root - INFO - DataSet readed Successfully
[ 2025-07-26 15:03:09,560 ] 47 root - INFO - X_Train and X_test created successfully

[ 2025-07-26 15:03:09,659 ] 77 root - INFO - Entered Preprocessing Method
[ 2025-07-26 15:03:26,744 ] 86 root - INFO - Preprocess Done
[ 2025-07-26 15:03:27,588 ] 91 root - INFO - Saved Sucessfully 

[ 2025-07-26 15:03:27,594 ] 57 root - INFO - Entered initiate_transform_data method
[ 2025-07-26 15:03:27,902 ] 62 root - INFO - dataset successfully readed
[ 2025-07-26 15:03:27,902 ] 36 root - INFO - Entered transformer_object method
[ 2025-07-26 15:03:27,902 ] 46 root - INFO - successfully created transformer objects

[ 2025-07-26 15:03:28,169 ] 93 root - INFO - Applied transformer on data
[ 2025-07-26 15:03:28,230 ] 105 root - INFO - converted array
[ 2025-07-26 15:03:28,250 ] 113 root - INFO - Piplines are saved

[ 2025-07-26 15:03:28,257 ] 23 root - INFO - Entered into Model Training
[ 2025-07-26 15:03:28,257 ] 26 root - INFO - Split train and test data 
[ 2025-07-26 15:03:28,257 ] 40 root - INFO - Model created 
[ 2025-07-26 15:03:28,273 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\src\components\model_training.py on line number 41 error messgae y should be a 1d array, got an array of shape (21496, 501) instead.
[ 2025-07-26 15:03:28,273 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\main.py on line number 28 error messgae Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\src\components\model_training.py on line number 41 error messgae y should be a 1d array, got an array of shape (21496, 501) instead.
[ 2025-07-26 15:15:06,063 ] 30 root - INFO - Entered the data ingestion method
[ 2025-07-26 15:15:06,342 ] 35 root - INFO - DataSet readed Successfully
[ 2025-07-26 15:15:07,675 ] 47 root - INFO - X_Train and X_test created successfully

[ 2025-07-26 15:15:07,675 ] 77 root - INFO - Entered Preprocessing Method
[ 2025-07-26 15:15:22,712 ] 86 root - INFO - Preprocess Done
[ 2025-07-26 15:15:23,347 ] 91 root - INFO - Saved Sucessfully 

[ 2025-07-26 15:15:23,347 ] 57 root - INFO - Entered initiate_transform_data method
[ 2025-07-26 15:15:23,614 ] 62 root - INFO - dataset successfully readed
[ 2025-07-26 15:15:23,614 ] 36 root - INFO - Entered transformer_object method
[ 2025-07-26 15:15:23,614 ] 46 root - INFO - successfully created transformer objects

[ 2025-07-26 15:15:23,874 ] 93 root - INFO - Applied transformer on data
[ 2025-07-26 15:15:23,874 ] 103 root - INFO - converted array
[ 2025-07-26 15:15:23,893 ] 111 root - INFO - Piplines are saved

[ 2025-07-26 15:15:23,895 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\main.py on line number 26 error messgae 'tuple' object has no attribute 'shape'
[ 2025-07-26 15:15:51,751 ] 30 root - INFO - Entered the data ingestion method
[ 2025-07-26 15:15:52,035 ] 35 root - INFO - DataSet readed Successfully
[ 2025-07-26 15:15:53,302 ] 47 root - INFO - X_Train and X_test created successfully

[ 2025-07-26 15:15:53,302 ] 77 root - INFO - Entered Preprocessing Method
[ 2025-07-26 15:16:09,338 ] 86 root - INFO - Preprocess Done
[ 2025-07-26 15:16:10,018 ] 91 root - INFO - Saved Sucessfully 

[ 2025-07-26 15:16:10,034 ] 57 root - INFO - Entered initiate_transform_data method
[ 2025-07-26 15:16:10,322 ] 62 root - INFO - dataset successfully readed
[ 2025-07-26 15:16:10,322 ] 36 root - INFO - Entered transformer_object method
[ 2025-07-26 15:16:10,322 ] 46 root - INFO - successfully created transformer objects

[ 2025-07-26 15:16:10,574 ] 93 root - INFO - Applied transformer on data
[ 2025-07-26 15:16:10,574 ] 103 root - INFO - converted array
[ 2025-07-26 15:16:10,602 ] 111 root - INFO - Piplines are saved

[ 2025-07-26 15:16:10,604 ] 23 root - INFO - Entered into Model Training
[ 2025-07-26 15:16:10,604 ] 26 root - INFO - Split train and test data 
[ 2025-07-26 15:16:10,604 ] 40 root - INFO - Model created 
[ 2025-07-26 15:18:25,743 ] 30 root - INFO - Entered the data ingestion method
[ 2025-07-26 15:18:26,024 ] 35 root - INFO - DataSet readed Successfully
[ 2025-07-26 15:18:27,253 ] 47 root - INFO - X_Train and X_test created successfully

[ 2025-07-26 15:18:27,269 ] 77 root - INFO - Entered Preprocessing Method
[ 2025-07-26 15:18:41,945 ] 86 root - INFO - Preprocess Done
[ 2025-07-26 15:18:42,590 ] 91 root - INFO - Saved Sucessfully 

[ 2025-07-26 15:18:42,590 ] 57 root - INFO - Entered initiate_transform_data method
[ 2025-07-26 15:18:42,874 ] 62 root - INFO - dataset successfully readed
[ 2025-07-26 15:18:42,874 ] 36 root - INFO - Entered transformer_object method
[ 2025-07-26 15:18:42,874 ] 46 root - INFO - successfully created transformer objects

[ 2025-07-26 15:18:43,125 ] 93 root - INFO - Applied transformer on data
[ 2025-07-26 15:18:43,125 ] 103 root - INFO - converted array
[ 2025-07-26 15:18:43,141 ] 111 root - INFO - Piplines are saved

[ 2025-07-26 15:18:43,141 ] 26 root - INFO - Entered into Model Training
[ 2025-07-26 15:18:43,141 ] 29 root - INFO - Split train and test data 
[ 2025-07-26 15:18:43,141 ] 43 root - INFO - Model created 
[ 2025-07-26 15:18:43,172 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\src\components\model_training.py on line number 51 error messgae 'reverse' is an invalid keyword argument for max()
[ 2025-07-26 15:18:43,172 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\main.py on line number 27 error messgae Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\src\components\model_training.py on line number 51 error messgae 'reverse' is an invalid keyword argument for max()
[ 2025-07-26 15:19:06,276 ] 30 root - INFO - Entered the data ingestion method
